email,path,source,domain
3jvtsf-00000157307826841687584950000017025051270369838500-@4x-1-300x300.png,data/campaigns/turboship/indexes/emails/4x-1-300x300.png/3jvtsf-00000157307826841687584950000017025051270369838500.json,backfill,courtexconstruction.com
bbb-@2x-150x58.webp,data/campaigns/turboship/indexes/emails/2x-150x58.webp/bbb.json,backfill,texashardwoodflooring.com
experience@2x-100-600x350.jpg,data/campaigns/turboship/indexes/emails/2x-100-600x350.jpg/experience.json,backfill,peekscarpet.com
inspiration-02@2x-1-142x300.webp,data/campaigns/turboship/indexes/emails/2x-1-142x300.webp/inspiration-02.json,backfill,calvettabrothersmentor.com
14.1@3x-1-768x960.jpg,data/campaigns/turboship/indexes/emails/3x-1-768x960.jpg/14.1.json,backfill,ajhconstructionma.com
inspiration-02@2x-1.webp,data/campaigns/turboship/indexes/emails/2x-1.webp/inspiration-02.json,backfill,calvettabrothersmentor.com
osha-certified-hard-hat-sticker-red_530x@2x-1.webp,data/campaigns/turboship/indexes/emails/2x-1.webp/osha-certified-hard-hat-sticker-red_530x.json,backfill,apolloconstructioncorp.com
inspiration-03@2x-1.webp,data/campaigns/turboship/indexes/emails/2x-1.webp/inspiration-03.json,backfill,calvettabrothersmentor.com
visualizer-phone-inner@2x-1.webp,data/campaigns/turboship/indexes/emails/2x-1.webp/visualizer-phone-inner.json,backfill,floorconceptsinc.com
philadelphia-commercial-logo@2x-1.webp,data/campaigns/turboship/indexes/emails/2x-1.webp/philadelphia-commercial-logo.json,backfill,floorconceptsinc.com
footer-img_desktop@2x-24x9.png,data/campaigns/turboship/indexes/emails/2x-24x9.png/footer-img_desktop.json,backfill,bitly.com
mask-group-9@2x-768x591.png,data/campaigns/turboship/indexes/emails/2x-768x591.png/mask-group-9.json,backfill,signaturefloorsnyc.com
cropped-prancheta-2@3x-32x32.png,data/campaigns/turboship/indexes/emails/3x-32x32.png/cropped-prancheta-2.json,backfill,ajhconstructionma.com
14.1@3x-1-240x300.jpg,data/campaigns/turboship/indexes/emails/3x-1-240x300.jpg/14.1.json,backfill,ajhconstructionma.com
featured_vericorenaturalmapleblock_480x480@72ppi.jpg,data/campaigns/turboship/indexes/emails/72ppi.jpg/featured_vericorenaturalmapleblock_480x480.json,backfill,derrflooring.com
anderson-tuftex-logo@2x-300x192.webp,data/campaigns/turboship/indexes/emails/2x-300x192.webp/anderson-tuftex-logo.json,backfill,petersenscarpet.com
alt-logo_dk-bg@2x-1-1280x222.png,data/campaigns/turboship/indexes/emails/2x-1-1280x222.png/alt-logo_dk-bg.json,backfill,anointedflooring.com
experience@2x-100-300x175.jpg,data/campaigns/turboship/indexes/emails/2x-100-300x175.jpg/experience.json,backfill,peekscarpet.com
image_@2x-47.png,data/campaigns/turboship/indexes/emails/2x-47.png/image_.json,backfill,carolinacourtex.com
inspiration-03@2x-1-768x379.webp,data/campaigns/turboship/indexes/emails/2x-1-768x379.webp/inspiration-03.json,backfill,calvettabrothersmentor.com
brush@2x-300x188.png,data/campaigns/turboship/indexes/emails/2x-300x188.png/brush.json,backfill,kashianbros.com
image_@2x-44.png,data/campaigns/turboship/indexes/emails/2x-44.png/image_.json,backfill,carolinacourtex.com
alt-logo_dk-bg@2x-1-980x170.png,data/campaigns/turboship/indexes/emails/2x-1-980x170.png/alt-logo_dk-bg.json,backfill,anointedflooring.com
best_buy_carpet_logo_2@2x-300x72.png,data/campaigns/turboship/indexes/emails/2x-300x72.png/best_buy_carpet_logo_2.json,backfill,bestbuycarpet.com
